player,player_id,organization_id,game_date,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Vic Law,0,1,2018-02-19,30,3,8,.375,0,2,.000,3,6,.500,0,1,.000,1,4,5,3,0,0,1,4,9
Aaron Falzon,0,1,2018-02-19,15,1,4,.250,0,0,,1,4,.250,0,0,,0,1,1,0,1,0,0,0,3
Gavin Skelly,0,1,2018-02-19,25,1,9,.111,0,6,.000,1,3,.333,3,4,.750,1,3,4,1,0,1,3,2,6
Isiah Brown,0,1,2018-02-19,16,3,6,.500,2,2,1.000,1,4,.250,4,4,1.000,0,1,1,3,1,0,1,3,11
Barret Benson,0,1,2018-02-19,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,2,0
Tino Malnati,0,1,2018-02-22,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Isiah Brown,0,1,2018-02-22,8,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,1,0
Aaron Falzon,0,1,2018-02-22,20,0,4,.000,0,1,.000,0,3,.000,0,0,,0,1,1,0,1,0,0,2,0
Gavin Skelly,0,1,2018-02-22,24,2,2,1.000,2,2,1.000,0,0,,0,1,.000,1,2,3,1,0,0,3,4,4
Barret Benson,0,1,2018-02-22,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0
Dererk Pardon,0,1,2018-02-22,36,2,4,.500,2,4,.500,0,0,,6,7,.857,4,5,9,0,1,0,0,2,10
Bryant McIntosh,0,1,2018-02-22,38,8,17,.471,6,13,.462,2,4,.500,0,0,,0,3,3,6,0,0,6,2,18
Scottie Lindsey,0,1,2018-02-22,40,8,16,.500,6,10,.600,2,6,.333,8,9,.889,2,1,3,0,0,0,2,4,26
Anthony Gaines,0,1,2018-02-22,31,3,3,1.000,3,3,1.000,0,0,,0,0,,1,3,4,1,0,0,1,3,6
Tino Malnati,0,1,2018-02-25,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Aaron Falzon,0,1,2018-02-25,13,2,6,.333,0,2,.000,2,4,.500,0,0,,0,1,1,1,1,0,0,2,6
Isiah Brown,0,1,2018-02-25,33,3,14,.214,2,8,.250,1,6,.167,0,0,,0,0,0,3,0,0,2,4,7
Bryant McIntosh,0,1,2018-02-25,7,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,3,0,2
Barret Benson,0,1,2018-02-25,25,4,4,1.000,4,4,1.000,0,0,,0,0,,3,7,10,2,1,3,1,4,8
Dererk Pardon,0,1,2018-02-25,34,3,8,.375,3,8,.375,0,0,,0,1,.000,4,5,9,4,0,1,1,3,6
Anthony Gaines,0,1,2018-02-25,40,4,11,.364,3,7,.429,1,4,.250,0,0,,0,2,2,6,0,0,3,1,9
Scottie Lindsey,0,1,2018-02-25,40,10,14,.714,1,3,.333,9,11,.818,3,4,.750,1,3,4,0,0,0,0,2,32
